sku,categoria,subcategoria,tienda,demanda_promedio,desviacion_demanda,ventas_totales,precio_promedio,costo_unitario,precio_venta,lead_time,stock_actual,stock_seguridad,stock_en_transito,margen_promedio,D,H,Q_opt,D_L,sigma_L,s_reorder,CTA,CTE,escenario
HM000001,Vestidos,Temporada,TIENDA001,1.652054794520548,1.127589765077705,603,37.05,10.35,17.75,18.0,68.0,15.0,22.0,7.4,85.9068493150685,1.5525,33.266957936836555,29.736986301369864,4.783958215697947,37.63051735727147,51.646952196938756,136.1939732928292,Escenario 1
HM000001,Vestidos,Temporada,TIENDA002,1.652054794520548,1.127589765077705,603,37.05,10.35,17.75,18.0,12.0,17.0,39.0,7.4,85.9068493150685,1.5525,33.266957936836555,29.736986301369864,4.783958215697947,37.63051735727147,51.646952196938756,136.1939732928292,Escenario 1
HM000001,Vestidos,Temporada,TIENDA003,1.652054794520548,1.127589765077705,603,37.05,10.35,17.75,18.0,1.0,24.0,0.0,7.4,85.9068493150685,1.5525,33.266957936836555,29.736986301369864,4.783958215697947,37.63051735727147,51.646952196938756,136.1939732928292,Escenario 1
HM000001,Vestidos,Temporada,TIENDA004,1.652054794520548,1.127589765077705,603,37.05,10.35,17.75,18.0,70.0,24.0,0.0,7.4,85.9068493150685,1.5525,33.266957936836555,29.736986301369864,4.783958215697947,37.63051735727147,51.646952196938756,136.1939732928292,Escenario 1
HM000001,Vestidos,Temporada,TIENDA005,1.652054794520548,1.127589765077705,603,37.05,10.35,17.75,18.0,17.0,17.0,44.0,7.4,85.9068493150685,1.5525,33.266957936836555,29.736986301369864,4.783958215697947,37.63051735727147,51.646952196938756,136.1939732928292,Escenario 1
HM000001,Vestidos,Temporada,TIENDA006,1.652054794520548,1.127589765077705,603,37.05,10.35,17.75,18.0,56.0,21.0,25.0,7.4,85.9068493150685,1.5525,33.266957936836555,29.736986301369864,4.783958215697947,37.63051735727147,51.646952196938756,136.1939732928292,Escenario 1
HM000002,Camisetas,Temporada,TIENDA001,1.5205479452054795,0.8469335288131586,555,91.37,34.6,40.98,12.0,86.0,23.0,30.0,6.379999999999996,79.06849315068493,5.19,17.45553041320982,18.246575342465754,2.9338638050759807,23.08745062084112,90.59420284455896,168.40563980346306,Escenario 1
HM000002,Camisetas,Temporada,TIENDA002,1.5205479452054795,0.8469335288131586,555,91.37,34.6,40.98,12.0,86.0,20.0,25.0,6.379999999999996,79.06849315068493,5.19,17.45553041320982,18.246575342465754,2.9338638050759807,23.08745062084112,90.59420284455896,168.40563980346306,Escenario 1
HM000002,Camisetas,Temporada,TIENDA003,1.5205479452054795,0.8469335288131586,555,91.37,34.6,40.98,12.0,28.0,22.0,41.0,6.379999999999996,79.06849315068493,5.19,17.45553041320982,18.246575342465754,2.9338638050759807,23.08745062084112,90.59420284455896,168.40563980346306,Escenario 1
HM000002,Camisetas,Temporada,TIENDA004,1.5205479452054795,0.8469335288131586,555,91.37,34.6,40.98,12.0,41.0,16.0,1.0,6.379999999999996,79.06849315068493,5.19,17.45553041320982,18.246575342465754,2.9338638050759807,23.08745062084112,90.59420284455896,168.40563980346306,Escenario 1
HM000002,Camisetas,Temporada,TIENDA005,1.5205479452054795,0.8469335288131586,555,91.37,34.6,40.98,12.0,59.0,20.0,18.0,6.379999999999996,79.06849315068493,5.19,17.45553041320982,18.246575342465754,2.9338638050759807,23.08745062084112,90.59420284455896,168.40563980346306,Escenario 1
HM000002,Camisetas,Temporada,TIENDA006,1.5205479452054795,0.8469335288131586,555,91.37,34.6,40.98,12.0,58.0,19.0,27.0,6.379999999999996,79.06849315068493,5.19,17.45553041320982,18.246575342465754,2.9338638050759807,23.08745062084112,90.59420284455896,168.40563980346306,Escenario 1
HM000003,Abrigos,Basico,TIENDA001,1.6876712328767125,1.3791964141332778,616,87.18,40.5,68.38,12.0,87.0,18.0,22.0,27.879999999999995,87.75890410958905,6.075,16.997594030624533,20.25205479452055,4.7776765257912865,28.135221062076173,103.26038373604405,189.88821316070158,Escenario 1
HM000003,Abrigos,Basico,TIENDA002,1.6876712328767125,1.3791964141332778,616,87.18,40.5,68.38,12.0,2.0,21.0,13.0,27.879999999999995,87.75890410958905,6.075,16.997594030624533,20.25205479452055,4.7776765257912865,28.135221062076173,103.26038373604405,189.88821316070158,Escenario 1
HM000003,Abrigos,Basico,TIENDA003,1.6876712328767125,1.3791964141332778,616,87.18,40.5,68.38,12.0,12.0,22.0,41.0,27.879999999999995,87.75890410958905,6.075,16.997594030624533,20.25205479452055,4.7776765257912865,28.135221062076173,103.26038373604405,189.88821316070158,Escenario 1
HM000003,Abrigos,Basico,TIENDA004,1.6876712328767125,1.3791964141332778,616,87.18,40.5,68.38,12.0,16.0,16.0,41.0,27.879999999999995,87.75890410958905,6.075,16.997594030624533,20.25205479452055,4.7776765257912865,28.135221062076173,103.26038373604405,189.88821316070158,Escenario 1
HM000003,Abrigos,Basico,TIENDA005,1.6876712328767125,1.3791964141332778,616,87.18,40.5,68.38,12.0,52.0,28.0,7.0,27.879999999999995,87.75890410958905,6.075,16.997594030624533,20.25205479452055,4.7776765257912865,28.135221062076173,103.26038373604405,189.88821316070158,Escenario 1
HM000003,Abrigos,Basico,TIENDA006,1.6876712328767125,1.3791964141332778,616,87.18,40.5,68.38,12.0,60.0,10.0,41.0,27.879999999999995,87.75890410958905,6.075,16.997594030624533,20.25205479452055,4.7776765257912865,28.135221062076173,103.26038373604405,189.88821316070158,Escenario 1
HM000004,Camisetas,Temporada,TIENDA001,1.5342465753424657,0.9240705425480228,560,98.92,37.49,19.15,8.0,34.0,22.0,47.0,-18.340000000000003,79.78082191780821,5.6235,16.84460770728528,12.273972602739725,2.613666187721756,16.586521812480623,94.72565144191879,172.92341837342562,Escenario 1
HM000004,Camisetas,Temporada,TIENDA002,1.5342465753424657,0.9240705425480228,560,98.92,37.49,19.15,8.0,17.0,24.0,1.0,-18.340000000000003,79.78082191780821,5.6235,16.84460770728528,12.273972602739725,2.613666187721756,16.586521812480623,94.72565144191879,172.92341837342562,Escenario 1
HM000004,Camisetas,Temporada,TIENDA003,1.5342465753424657,0.9240705425480228,560,98.92,37.49,19.15,8.0,33.0,19.0,46.0,-18.340000000000003,79.78082191780821,5.6235,16.84460770728528,12.273972602739725,2.613666187721756,16.586521812480623,94.72565144191879,172.92341837342562,Escenario 1
HM000004,Camisetas,Temporada,TIENDA004,1.5342465753424657,0.9240705425480228,560,98.92,37.49,19.15,8.0,37.0,19.0,24.0,-18.340000000000003,79.78082191780821,5.6235,16.84460770728528,12.273972602739725,2.613666187721756,16.586521812480623,94.72565144191879,172.92341837342562,Escenario 1
HM000004,Camisetas,Temporada,TIENDA005,1.5342465753424657,0.9240705425480228,560,98.92,37.49,19.15,8.0,32.0,21.0,7.0,-18.340000000000003,79.78082191780821,5.6235,16.84460770728528,12.273972602739725,2.613666187721756,16.586521812480623,94.72565144191879,172.92341837342562,Escenario 1
HM000004,Camisetas,Temporada,TIENDA006,1.5342465753424657,0.9240705425480228,560,98.92,37.49,19.15,8.0,45.0,22.0,26.0,-18.340000000000003,79.78082191780821,5.6235,16.84460770728528,12.273972602739725,2.613666187721756,16.586521812480623,94.72565144191879,172.92341837342562,Escenario 1
HM000005,Accesorios,Temporada,TIENDA001,1.6273972602739726,1.128217045448625,594,36.55,35.92,56.41,15.0,57.0,32.0,39.0,20.489999999999995,84.62465753424658,5.388,17.72350721489573,24.410958904109588,4.369565827929861,31.620742520193858,95.49425687385819,178.9470278190637,Escenario 1
HM000005,Accesorios,Temporada,TIENDA002,1.6273972602739726,1.128217045448625,594,36.55,35.92,56.41,15.0,80.0,22.0,11.0,20.489999999999995,84.62465753424658,5.388,17.72350721489573,24.410958904109588,4.369565827929861,31.620742520193858,95.49425687385819,178.9470278190637,Escenario 1
HM000005,Accesorios,Temporada,TIENDA003,1.6273972602739726,1.128217045448625,594,36.55,35.92,56.41,15.0,5.0,24.0,47.0,20.489999999999995,84.62465753424658,5.388,17.72350721489573,24.410958904109588,4.369565827929861,31.620742520193858,95.49425687385819,178.9470278190637,Escenario 1
HM000005,Accesorios,Temporada,TIENDA004,1.6273972602739726,1.128217045448625,594,36.55,35.92,56.41,15.0,15.0,16.0,0.0,20.489999999999995,84.62465753424658,5.388,17.72350721489573,24.410958904109588,4.369565827929861,31.620742520193858,95.49425687385819,178.9470278190637,Escenario 1
HM000005,Accesorios,Temporada,TIENDA005,1.6273972602739726,1.128217045448625,594,36.55,35.92,56.41,15.0,19.0,21.0,25.0,20.489999999999995,84.62465753424658,5.388,17.72350721489573,24.410958904109588,4.369565827929861,31.620742520193858,95.49425687385819,178.9470278190637,Escenario 1
HM000005,Accesorios,Temporada,TIENDA006,1.6273972602739726,1.128217045448625,594,36.55,35.92,56.41,15.0,77.0,18.0,23.0,20.489999999999995,84.62465753424658,5.388,17.72350721489573,24.410958904109588,4.369565827929861,31.620742520193858,95.49425687385819,178.9470278190637,Escenario 1
HM000006,Camisetas,Temporada,TIENDA001,1.6876712328767125,1.377203050847472,616,82.68,26.72,77.14,20.0,57.0,18.0,42.0,50.42,87.75890410958905,4.008,20.926506712339307,33.753424657534254,6.159039281030093,43.91583947123391,83.87343890305594,170.7875263277135,Escenario 1
HM000006,Camisetas,Temporada,TIENDA002,1.6876712328767125,1.377203050847472,616,82.68,26.72,77.14,20.0,24.0,15.0,29.0,50.42,87.75890410958905,4.008,20.926506712339307,33.753424657534254,6.159039281030093,43.91583947123391,83.87343890305594,170.7875263277135,Escenario 1
HM000006,Camisetas,Temporada,TIENDA003,1.6876712328767125,1.377203050847472,616,82.68,26.72,77.14,20.0,75.0,19.0,9.0,50.42,87.75890410958905,4.008,20.926506712339307,33.753424657534254,6.159039281030093,43.91583947123391,83.87343890305594,170.7875263277135,Escenario 1
HM000006,Camisetas,Temporada,TIENDA004,1.6876712328767125,1.377203050847472,616,82.68,26.72,77.14,20.0,91.0,24.0,24.0,50.42,87.75890410958905,4.008,20.926506712339307,33.753424657534254,6.159039281030093,43.91583947123391,83.87343890305594,170.7875263277135,Escenario 1
HM000006,Camisetas,Temporada,TIENDA005,1.6876712328767125,1.377203050847472,616,82.68,26.72,77.14,20.0,52.0,16.0,25.0,50.42,87.75890410958905,4.008,20.926506712339307,33.753424657534254,6.159039281030093,43.91583947123391,83.87343890305594,170.7875263277135,Escenario 1
HM000006,Camisetas,Temporada,TIENDA006,1.6876712328767125,1.377203050847472,616,82.68,26.72,77.14,20.0,71.0,21.0,12.0,50.42,87.75890410958905,4.008,20.926506712339307,33.753424657534254,6.159039281030093,43.91583947123391,83.87343890305594,170.7875263277135,Escenario 1
HM000007,Vestidos,Basico,TIENDA001,1.5041095890410958,0.8274876507435456,549,70.17,17.96,34.56,19.0,15.0,16.0,26.0,16.6,78.21369863013699,2.694,24.096702394653267,28.57808219178082,3.606935046618995,34.52952501870216,64.9165162511959,142.01741844297672,Escenario 1
HM000007,Vestidos,Basico,TIENDA002,1.5041095890410958,0.8274876507435456,549,70.17,17.96,34.56,19.0,72.0,23.0,32.0,16.6,78.21369863013699,2.694,24.096702394653267,28.57808219178082,3.606935046618995,34.52952501870216,64.9165162511959,142.01741844297672,Escenario 1
