sku,categoria,subcategoria,tienda,demanda_promedio,desviacion_demanda,ventas_totales,precio_promedio,costo_unitario,precio_venta,lead_time,stock_actual,stock_seguridad,stock_en_transito,margen_promedio
HM000001,Vestidos,Temporada,TIENDA001,1.673780487804878,1.1653699812751543,549,37.05,10.35,17.75,7.0,68.0,15.0,22.0,7.400000000000001
HM000001,Vestidos,Temporada,TIENDA002,1.6253776435045317,1.1329056605653876,538,37.05,10.35,17.75,7.0,12.0,17.0,39.0,7.4
HM000001,Vestidos,Temporada,TIENDA003,1.674922600619195,1.049795710775864,541,37.05,10.35,17.75,7.0,1.0,24.0,0.0,7.400000000000001
HM000001,Vestidos,Temporada,TIENDA004,1.6605504587155964,1.0843576890981268,543,37.05,10.35,17.75,7.0,70.0,24.0,0.0,7.4
HM000001,Vestidos,Temporada,TIENDA005,1.5753012048192772,0.9663796547414699,523,37.05,10.35,17.75,7.0,17.0,17.0,44.0,7.4
HM000001,Vestidos,Temporada,TIENDA006,1.7107692307692308,1.240783687652348,556,37.05,10.35,17.75,7.0,56.0,21.0,25.0,7.4
HM000001,Vestidos,Temporada,TIENDA007,1.7363636363636363,1.148626292476317,573,37.05,10.35,17.75,7.0,,,,7.4
HM000001,Vestidos,Temporada,TIENDA008,1.6506024096385543,1.033385132649431,548,37.05,10.35,17.75,7.0,,,,7.4
HM000001,Vestidos,Temporada,TIENDA009,1.6042296072507554,0.9895730308998884,531,37.05,10.35,17.75,7.0,,,,7.4
HM000001,Vestidos,Temporada,TIENDA010,1.6808510638297873,1.1362773001122517,553,37.05,10.35,17.75,7.0,,,,7.3999999999999995
HM000002,Camisetas,Temporada,TIENDA001,1.503125,0.7878323799731571,481,91.37,34.6,40.98,7.0,86.0,23.0,30.0,6.379999999999996
HM000002,Camisetas,Temporada,TIENDA002,1.5700934579439252,0.9230941467360295,504,91.37,34.6,40.98,7.0,86.0,20.0,25.0,6.379999999999996
HM000002,Camisetas,Temporada,TIENDA003,1.5396341463414633,0.9310885347943926,505,91.37,34.6,40.98,7.0,28.0,22.0,41.0,6.379999999999997
HM000002,Camisetas,Temporada,TIENDA004,1.4617737003058104,0.8422730188020451,478,91.37,34.6,40.98,7.0,41.0,16.0,1.0,6.379999999999996
HM000002,Camisetas,Temporada,TIENDA005,1.3982035928143712,0.7270800587823495,467,91.37,34.6,40.98,7.0,59.0,20.0,18.0,6.379999999999996
HM000002,Camisetas,Temporada,TIENDA006,1.5106382978723405,0.8593332035644345,497,91.37,34.6,40.98,7.0,58.0,19.0,27.0,6.3799999999999955
HM000002,Camisetas,Temporada,TIENDA007,1.4817073170731707,0.8274537116730988,486,91.37,34.6,40.98,7.0,,,,6.379999999999997
HM000002,Camisetas,Temporada,TIENDA008,1.492354740061162,0.8097013136532244,488,91.37,34.6,40.98,7.0,,,,6.379999999999996
HM000002,Camisetas,Temporada,TIENDA009,1.5198776758409787,0.8429076085340805,497,91.37,34.6,40.98,7.0,,,,6.379999999999996
HM000002,Camisetas,Temporada,TIENDA010,1.478395061728395,0.7885574190858597,479,91.37,34.6,40.98,7.0,,,,6.379999999999997
