sku,tienda,fecha_predicha,semana_a_futuro,prediccion_ARIMA
HM000001,TIENDA001,2024-12-29,1,1.78
HM000001,TIENDA001,2025-01-05,2,1.75
HM000001,TIENDA001,2025-01-12,3,1.75
HM000001,TIENDA001,2025-01-19,4,1.75
HM000001,TIENDA001,2025-01-26,5,1.75
HM000001,TIENDA001,2025-02-02,6,1.75
HM000001,TIENDA001,2025-02-09,7,1.75
HM000001,TIENDA001,2025-02-16,8,1.75
HM000001,TIENDA002,2024-12-29,1,1.84
HM000001,TIENDA002,2025-01-05,2,1.68
HM000001,TIENDA002,2025-01-12,3,1.66
HM000001,TIENDA002,2025-01-19,4,1.66
HM000001,TIENDA002,2025-01-26,5,1.66
HM000001,TIENDA002,2025-02-02,6,1.66
HM000001,TIENDA002,2025-02-09,7,1.66
HM000001,TIENDA002,2025-02-16,8,1.66
HM000001,TIENDA003,2024-12-29,1,1.12
HM000001,TIENDA003,2025-01-05,2,1.16
HM000001,TIENDA003,2025-01-12,3,1.16
HM000001,TIENDA003,2025-01-19,4,1.16
HM000001,TIENDA003,2025-01-26,5,1.16
HM000001,TIENDA003,2025-02-02,6,1.16
HM000001,TIENDA003,2025-02-09,7,1.16
HM000001,TIENDA003,2025-02-16,8,1.16
HM000001,TIENDA004,2024-12-29,1,1.66
HM000001,TIENDA004,2025-01-05,2,1.61
HM000001,TIENDA004,2025-01-12,3,1.62
HM000001,TIENDA004,2025-01-19,4,1.62
HM000001,TIENDA004,2025-01-26,5,1.62
HM000001,TIENDA004,2025-02-02,6,1.62
HM000001,TIENDA004,2025-02-09,7,1.62
HM000001,TIENDA004,2025-02-16,8,1.62
HM000001,TIENDA005,2024-12-29,1,1.82
HM000001,TIENDA005,2025-01-05,2,1.7
HM000001,TIENDA005,2025-01-12,3,1.69
HM000001,TIENDA005,2025-01-19,4,1.69
HM000001,TIENDA005,2025-01-26,5,1.69
HM000001,TIENDA005,2025-02-02,6,1.69
HM000001,TIENDA005,2025-02-09,7,1.69
HM000001,TIENDA005,2025-02-16,8,1.69
