sku,categoria,subcategoria,tienda,demanda_promedio,desviacion_demanda,ventas_totales,precio_promedio,costo_unitario,precio_venta,lead_time,stock_actual,stock_seguridad,stock_en_transito,margen_promedio,D,H,Q_opt,D_L,sigma_L,s_reorder,CTA,CTE,escenario
HM000001,Vestidos,Temporada,TIENDA001,1.673780487804878,1.1653699812751543,549,37.05,10.35,17.75,7.0,68.0,15.0,22.0,7.400000000000001,87.03658536585365,1.5525,33.48498552964926,11.716463414634147,3.0832791558340573,16.80387402176034,51.98544003478047,137.64307857136583,Escenario 1
HM000001,Vestidos,Temporada,TIENDA002,1.6253776435045315,1.1329056605653876,538,37.05,10.35,17.75,7.0,12.0,17.0,39.0,7.4,84.51963746223564,1.5525,32.997269679123264,11.37764350453172,2.99738663675337,16.32333145517478,51.22826117683887,134.41154631279056,Escenario 1
HM000001,Vestidos,Temporada,TIENDA003,1.674922600619195,1.049795710775864,541,37.05,10.35,17.75,7.0,1.0,24.0,0.0,7.400000000000001,87.09597523219814,1.5525,33.49640790839874,11.724458204334365,2.777498378135226,16.307330528257488,52.003173277789045,137.7191966214423,Escenario 1
HM000001,Vestidos,Temporada,TIENDA004,1.6605504587155964,1.0843576890981268,543,37.05,10.35,17.75,7.0,70.0,24.0,0.0,7.4,86.34862385321101,1.5525,33.35238563789145,11.623853211009175,2.868940777594339,16.357605494039834,51.779578702826484,136.7608981523678,Escenario 1
HM000001,Vestidos,Temporada,TIENDA005,1.5753012048192772,0.96637965474147,523,37.05,10.35,17.75,7.0,17.0,17.0,44.0,7.4,81.91566265060241,1.5525,32.48498479366733,11.02710843373494,2.5568002385183908,15.245828827290284,50.43293889216852,131.05631648252998,Escenario 1
HM000001,Vestidos,Temporada,TIENDA006,1.7107692307692308,1.240783687652348,556,37.05,10.35,17.75,7.0,56.0,21.0,25.0,7.4,88.96000000000001,1.5525,33.852954734903335,11.975384615384616,3.282805068353757,17.392012978168317,52.55671222593742,140.10521530286053,Escenario 1
HM000001,Vestidos,Temporada,TIENDA007,1.7363636363636363,1.148626292476317,573,37.05,10.35,17.75,7.0,,,,7.4,90.29090909090908,1.5525,34.10524755802247,12.154545454545454,3.038979519242476,17.16886166129554,52.94839683382989,141.805285924739,Escenario 1
HM000001,Vestidos,Temporada,TIENDA008,1.6506024096385543,1.033385132649431,548,37.05,10.35,17.75,7.0,,,,7.4,85.83132530120483,1.5525,33.252331590659914,11.55421686746988,2.734080069541888,16.065448982213994,51.62424479449951,136.09701997522242,Escenario 1
HM000001,Vestidos,Temporada,TIENDA009,1.6042296072507554,0.9895730308998884,531,37.05,10.35,17.75,7.0,,,,7.4,83.41993957703927,1.5525,32.781900582842546,11.229607250755288,2.6181641438975403,15.54957808818623,50.893900654863046,132.99609817752167,Escenario 1
HM000001,Vestidos,Temporada,TIENDA010,1.680851063829787,1.1362773001122517,553,37.05,10.35,17.75,7.0,,,,7.399999999999999,87.40425531914893,1.5525,33.555636558589676,11.76595744680851,3.0063071565049233,16.726364255041634,52.095125757210475,138.11421214018924,Escenario 1
