fecha,sku,tienda,cantidad_vendida
2024-01-07,HM000001,TIENDA001,0.8
2024-01-14,HM000001,TIENDA001,2.48
2024-01-21,HM000001,TIENDA001,0.14
2024-01-28,HM000001,TIENDA001,2.48
2024-02-04,HM000001,TIENDA001,2.2
2024-02-11,HM000001,TIENDA001,0.43
2024-02-18,HM000001,TIENDA001,1.02
2024-02-25,HM000001,TIENDA001,2.1
2024-03-03,HM000001,TIENDA001,1.8
2024-03-10,HM000001,TIENDA001,2.05
2024-03-17,HM000001,TIENDA001,0.72
2024-03-24,HM000001,TIENDA001,2.17
2024-03-31,HM000001,TIENDA001,3.44
2024-04-07,HM000001,TIENDA001,0.56
2024-04-14,HM000001,TIENDA001,0.0
2024-04-21,HM000001,TIENDA001,1.27
2024-04-28,HM000001,TIENDA001,0.0
2024-05-05,HM000001,TIENDA001,1.81
2024-05-12,HM000001,TIENDA001,3.86
2024-05-19,HM000001,TIENDA001,0.71
2024-05-26,HM000001,TIENDA001,0.0
2024-06-02,HM000001,TIENDA001,1.7
2024-06-09,HM000001,TIENDA001,1.66
2024-06-16,HM000001,TIENDA001,3.3
2024-06-23,HM000001,TIENDA001,1.76
2024-06-30,HM000001,TIENDA001,2.82
2024-07-07,HM000001,TIENDA001,2.75
2024-07-14,HM000001,TIENDA001,2.85
2024-07-21,HM000001,TIENDA001,3.41
2024-07-28,HM000001,TIENDA001,3.38
2024-08-04,HM000001,TIENDA001,2.34
2024-08-11,HM000001,TIENDA001,1.24
2024-08-18,HM000001,TIENDA001,2.94
2024-08-25,HM000001,TIENDA001,1.88
2024-09-01,HM000001,TIENDA001,0.51
2024-09-08,HM000001,TIENDA001,2.14
2024-09-15,HM000001,TIENDA001,0.61
2024-09-22,HM000001,TIENDA001,2.59
2024-09-29,HM000001,TIENDA001,0.0
2024-10-06,HM000001,TIENDA001,3.08
2024-10-13,HM000001,TIENDA001,1.32
2024-10-20,HM000001,TIENDA001,0.4
2024-10-27,HM000001,TIENDA001,3.09
2024-11-03,HM000001,TIENDA001,1.95
2024-11-10,HM000001,TIENDA001,3.2
2024-11-17,HM000001,TIENDA001,0.43
2024-11-24,HM000001,TIENDA001,1.12
2024-12-01,HM000001,TIENDA001,0.87
2024-12-08,HM000001,TIENDA001,1.49
